meta_source_row_id,meta_sale_date,meta_address_group_id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,property_age,has_basement,basement_share,room_count_invalid,years_since_renovation,renovation_status,city,zip_code
42,2014-05-02,ADDR_6042afbaf8e2ce0a,260000.0,4.0,2.0,1480,8625,1.0,0,0,4,40,0,0.0,0,,none_recorded,Renton,98055
25,2014-05-02,ADDR_c93a5fa0be444f4c,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,55,1,0.29375,0,25.0,valid_year,Seattle,98125
38,2014-05-02,ADDR_b8dc9b704261f30d,287200.0,3.0,3.0,1850,19966,1.0,0,0,4,22,1,0.41081081081081083,0,,none_recorded,Maple Valley,98038
29,2014-05-02,ADDR_21df7b3862bbc0eb,675000.0,5.0,2.5,2820,67518,2.0,0,0,3,35,0,0.0,0,0.0,valid_year,Issaquah,98029
8,2014-05-02,ADDR_b94faeb44ebb6016,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,25,0,0.0,0,,none_recorded,Maple Valley,98038
14,2014-05-02,ADDR_32a1dd43fe7d6080,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,59,0,0.0,0,5.0,valid_year,Seattle,98106
47,2014-05-02,ADDR_35e646eeb2634f28,437500.0,3.0,2.25,1970,35100,2.0,0,0,4,37,0,0.0,0,,none_recorded,Issaquah,98027
7,2014-05-02,ADDR_a6b7b86942ae1d12,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,38,0,0.0,0,,none_recorded,Redmond,98052
3,2014-05-02,ADDR_9068b883964efc44,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,48,0,0.0,0,,none_recorded,Kent,98042
49,2014-05-02,ADDR_14d915fe23b301ec,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,13,0,0.0,0,,none_recorded,Seattle,98107
51,2014-05-02,ADDR_d57b205695025bf7,630000.0,4.0,2.75,2710,37277,2.0,0,0,3,14,0,0.0,0,,none_recorded,Issaquah,98027
26,2014-05-02,ADDR_8937856f85f66b1a,285000.0,3.0,2.5,2090,10834,1.0,0,0,4,27,1,0.3492822966507177,0,,none_recorded,Federal Way,98003
64,2014-05-02,ADDR_ea2bf3acd2011b45,300000.0,3.0,2.5,2540,5050,2.0,0,0,3,8,0,0.0,0,,none_recorded,Kent,98042
36,2014-05-02,ADDR_ad2686422cd8c03c,604000.0,3.0,2.5,3240,33151,2.0,0,2,3,19,0,0.0,0,,none_recorded,Federal Way,98023
23,2014-05-02,ADDR_c4bc2773c76c6ff2,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,9,1,0.16,0,,none_recorded,Seattle,98102
21,2014-05-02,ADDR_f3e69132c0e74b46,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,91,1,0.3080357142857143,0,,none_recorded,Seattle,98115
54,2014-05-02,ADDR_f650677d3c4b3613,284000.0,3.0,1.75,1800,23103,1.0,0,0,3,46,0,0.0,0,17.0,valid_year,Carnation,98014
30,2014-05-02,ADDR_84ea7e7f8ebafffc,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,63,1,0.34615384615384615,0,15.0,valid_year,Seattle,98117
59,2014-05-02,ADDR_e41387f7816938a5,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,6,1,0.21212121212121213,0,,none_recorded,Seattle,98199
61,2014-05-02,ADDR_f2a501c49c7821a2,555000.0,4.0,2.5,3310,6500,2.0,0,0,3,2,0,0.0,0,,invalid_year,Snoqualmie,98065
15,2014-05-02,ADDR_3273444e911cfa48,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,75,0,0.0,0,45.0,valid_year,Seattle,98105
40,2014-05-02,ADDR_e2a8d9139f0ee452,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,59,1,0.39748953974895396,0,5.0,valid_year,Seattle,98116
57,2014-05-02,ADDR_c0ed3bf7bd5e1aee,491500.0,4.0,1.75,2190,125452,1.0,0,2,3,46,0,0.0,0,17.0,valid_year,Auburn,98092
12,2014-05-02,ADDR_7c4eaad9bedfd519,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,105,1,0.3458904109589041,0,26.0,valid_year,Seattle,98105
22,2014-05-02,ADDR_d379a87b200fbad4,435000.0,4.0,1.0,1450,8800,1.0,0,0,4,60,0,0.0,0,35.0,valid_year,Bellevue,98006
52,2014-05-02,ADDR_fcc7ad9908eab62f,550000.0,3.0,1.75,2910,35200,1.5,0,0,3,35,0,0.0,0,0.0,valid_year,Sammamish,98075
56,2014-05-02,ADDR_92023cdbb8970d77,430000.0,4.0,1.5,1920,10000,1.0,0,0,4,60,1,0.4427083333333333,0,35.0,valid_year,Bellevue,98006
48,2014-05-02,ADDR_d86beb3fb048badf,407500.0,3.0,2.5,1930,10460,2.0,0,0,3,18,0,0.0,0,,none_recorded,Renton,98059
44,2014-05-02,ADDR_e299be20b51dba9a,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,24,0,0.0,0,5.0,valid_year,Seattle,98116
41,2014-05-02,ADDR_1076ccb53c9eb324,335000.0,3.0,2.25,1580,16215,1.0,0,0,4,36,0,0.0,0,14.0,valid_year,Fall City,98024
9,2014-05-02,ADDR_806e7c2e451bd34e,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,29,1,0.35390946502057613,0,,none_recorded,North Bend,98045
37,2014-05-02,ADDR_fccaf7b86102b96a,440000.0,2.0,1.0,800,4850,1.0,0,0,4,70,0,0.0,0,,none_recorded,Seattle,98107
35,2014-05-02,ADDR_4b60fc9a0a46f86c,400000.0,4.0,2.5,3630,42884,1.5,0,0,3,35,1,0.36639118457300274,0,0.0,valid_year,Auburn,98092
4353,2014-05-02,ADDR_2cd0fed7c3f83873,237227.86,4.0,2.5,2200,9397,2.0,0,0,3,27,0,0.0,0,14.0,valid_year,Auburn,98001
6,2014-05-02,ADDR_c4b179e7c084323c,490000.0,2.0,1.0,880,6380,1.0,0,0,3,76,0,0.0,0,20.0,valid_year,Seattle,98115
60,2014-05-02,ADDR_742769e68bf28ac4,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,5,1,0.2147239263803681,0,,none_recorded,Seattle,98106
53,2014-05-02,ADDR_ffda15d41f531207,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,85,1,0.3062730627306273,0,,none_recorded,Seattle,98115
10,2014-05-02,ADDR_989598a55fd0a656,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,69,0,0.0,0,4.0,valid_year,Seattle,98115
2,2014-05-02,ADDR_813f56f4b718566e,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,93,1,0.07671232876712329,0,,none_recorded,Seattle,98119
33,2014-05-02,ADDR_9604ed3f5d8bef4f,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,69,1,0.0989010989010989,0,4.0,valid_year,Seattle,98115
58,2014-05-02,ADDR_73b0f5b41f30aae8,785000.0,5.0,3.25,3660,11995,2.0,0,2,3,8,0,0.0,0,,none_recorded,Snoqualmie,98065
45,2014-05-02,ADDR_169a791ef495e4b7,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,65,0,0.0,0,,none_recorded,Seattle,98106
27,2014-05-02,ADDR_24de6995c300dc1c,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,66,1,0.423728813559322,0,,none_recorded,Seattle,98136
4,2014-05-02,ADDR_d97a80682fc79e8e,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,51,1,0.5,0,,none_recorded,Bellevue,98008
5,2014-05-02,ADDR_ad44c2cf2afcb7c3,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,38,1,0.41237113402061853,0,22.0,valid_year,Redmond,98052
63,2014-05-02,ADDR_fc187d952400ccea,625000.0,4.0,3.25,2730,54014,1.0,0,0,3,7,1,0.42857142857142855,0,,none_recorded,Renton,98059
11,2014-05-02,ADDR_0ff0679f8a33a20c,463000.0,3.0,1.75,1710,7320,1.0,0,0,3,66,0,0.0,0,20.0,valid_year,Lake Forest Park,98155
67,2014-05-03,ADDR_45b738369b4fc3c7,379880.0,3.0,2.5,1650,14054,1.0,0,0,4,28,1,0.3151515151515151,0,,none_recorded,Issaquah,98027
65,2014-05-03,ADDR_fbc9f91e0a45d472,625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2,0,0.0,0,,invalid_year,Renton,98059
68,2014-05-03,ADDR_939293be40b83b73,310000.0,3.0,1.0,1010,9945,1.0,0,0,4,41,0,0.0,0,,none_recorded,Snoqualmie,98065
66,2014-05-03,ADDR_04a0b7a8d1aa52f1,553000.0,2.0,1.0,900,5000,1.0,0,0,3,70,0,0.0,0,,none_recorded,Seattle,98117
69,2014-05-04,ADDR_c7afffd528d613b2,775000.0,2.0,2.5,2680,7392,1.0,0,0,3,10,0,0.0,0,,invalid_year,Redmond,98053
70,2014-05-04,ADDR_7047137bf53f02c6,365000.0,3.0,2.5,2200,7350,1.0,0,0,5,26,1,0.2863636363636364,0,,none_recorded,Renton,98058
72,2014-05-04,ADDR_4260cf526d1a800c,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,34,1,0.3017543859649123,0,,none_recorded,Seattle,98122
73,2014-05-04,ADDR_bbfb4db9ebe5e587,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,114,1,0.5,0,9.0,valid_year,Seattle,98122
71,2014-05-04,ADDR_4c1b458df9f3c854,331950.0,4.0,2.5,2530,9933,2.0,0,2,3,24,1,0.20553359683794467,0,5.0,valid_year,Auburn,98092
115,2014-05-05,ADDR_32724e534a0d0807,740000.0,4.0,1.75,2010,3600,1.5,0,0,3,112,0,0.0,0,,none_recorded,Seattle,98119
102,2014-05-05,ADDR_92f1a05e0454c9ee,570000.0,3.0,2.25,2010,6000,1.0,0,0,3,39,1,0.3383084577114428,0,,none_recorded,Redmond,98052
88,2014-05-05,ADDR_a2c50092f73359b4,620000.0,3.0,1.75,1480,2185,2.5,0,0,3,9,0,0.0,0,,none_recorded,Kirkland,98033
98,2014-05-05,ADDR_38301d1114a5e55e,384900.0,5.0,2.5,3090,12750,1.0,0,0,3,46,1,0.4336569579288026,0,17.0,valid_year,Federal Way,98023
91,2014-05-05,ADDR_7e47fd97c5e150bc,800866.0,5.0,2.5,3180,13806,2.0,0,0,4,24,0,0.0,0,,none_recorded,Kirkland,98033
77,2014-05-05,ADDR_030fefa093e436fc,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,32,1,0.25806451612903225,0,3.0,valid_year,Seattle,98112
143,2014-05-05,ADDR_62d446c6e4fc8df8,830000.0,4.0,2.5,3400,9692,2.0,0,0,3,7,0,0.0,0,,none_recorded,Redmond,98052
93,2014-05-05,ADDR_9b6ba2e343f03a0d,823000.0,6.0,1.75,2920,5000,2.5,0,0,4,106,1,0.04794520547945205,0,,none_recorded,Seattle,98122
104,2014-05-05,ADDR_71e2ecf21a72ffac,328000.0,4.0,2.5,2370,6500,2.0,0,0,3,16,0,0.0,0,8.0,valid_year,Auburn,98092
79,2014-05-05,ADDR_24eb55bee8b526dc,755000.0,4.0,2.5,2120,10202,1.0,0,0,4,54,1,0.2358490566037736,0,13.0,valid_year,Bellevue,98005
150,2014-05-05,ADDR_ec035e412955249f,419190.0,2.0,2.5,1590,1426,2.0,0,0,3,0,0,0.0,0,,none_recorded,Issaquah,98029
118,2014-05-05,ADDR_1db30fb4e955e7ed,206000.0,2.0,1.0,810,7158,1.0,0,0,5,70,0,0.0,0,,none_recorded,Burien,98168
92,2014-05-05,ADDR_4c2e993f34bcc4eb,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,65,1,0.35185185185185186,0,29.0,valid_year,Seattle,98177
114,2014-05-05,ADDR_55b3aff71f492111,525888.0,5.0,1.75,2550,71874,1.0,0,0,5,54,1,0.2901960784313726,0,,none_recorded,Issaquah,98027
142,2014-05-05,ADDR_a9d9b2bf011a67f3,340000.0,2.0,1.5,1160,1438,2.0,0,0,3,13,0,0.0,0,,none_recorded,Seattle,98144
138,2014-05-05,ADDR_b725d7b95defb7b5,487585.0,4.0,1.75,2010,9211,1.0,0,0,3,37,1,0.26865671641791045,0,10.0,valid_year,Kirkland,98034
75,2014-05-05,ADDR_b557a5246e8959a0,900000.0,3.0,1.0,1330,77972,1.0,0,0,3,86,0,0.0,0,60.0,valid_year,Kirkland,98033
105,2014-05-05,ADDR_648f56b4fdb5caeb,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,72,1,0.16304347826086957,0,56.0,valid_year,Seattle,98133
128,2014-05-05,ADDR_faba858ae4e976af,329950.0,2.0,1.0,1140,5250,1.5,0,0,4,65,0,0.0,0,29.0,valid_year,Seattle,98133
76,2014-05-05,ADDR_769043d0a0d6ab58,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,14,1,0.12598425196850394,0,,none_recorded,Seattle,98103
116,2014-05-05,ADDR_a3ba013d165881f8,340000.0,5.0,1.0,1120,9022,1.5,0,0,4,52,0,0.0,0,,none_recorded,Kirkland,98034
85,2014-05-05,ADDR_fbc3337bd0d8c4d1,485000.0,4.0,3.0,2340,7048,1.0,0,0,4,35,1,0.42735042735042733,0,,none_recorded,Kirkland,98034
145,2014-05-05,ADDR_c27a825e4df39e7a,366750.0,3.0,3.0,1571,2017,3.0,0,0,3,6,0,0.0,0,,none_recorded,Seattle,98125
130,2014-05-05,ADDR_7c5c1651269d3964,549000.0,4.0,2.5,2910,6338,2.0,0,0,3,6,0,0.0,0,,none_recorded,Renton,98059
121,2014-05-05,ADDR_90cec7ded5336fed,379950.0,4.0,1.75,1970,9389,1.0,0,0,5,54,1,0.4213197969543147,0,,none_recorded,Shoreline,98133
151,2014-05-05,ADDR_23d83085083a89e3,712198.0,4.0,2.5,2450,4247,2.0,0,0,3,1,0,0.0,0,,invalid_year,Redmond,98052
101,2014-05-05,ADDR_8c50a767b4911dc0,736500.0,4.0,2.5,3180,21904,2.0,0,3,3,14,0,0.0,0,,none_recorded,Renton,98059
82,2014-05-05,ADDR_9f2cf93acbb26f40,865000.0,4.0,3.0,3690,9892,2.0,0,0,3,16,0,0.0,0,8.0,valid_year,Sammamish,98075
124,2014-05-05,ADDR_aaf49f9476f09218,309950.0,3.0,2.5,1880,7838,2.0,0,0,3,20,0,0.0,0,,none_recorded,Renton,98055
4354,2014-05-05,ADDR_59e6e45d9874a9a8,117833.33,3.0,1.0,1340,306848,1.0,0,0,3,61,0,0.0,0,,none_recorded,Duvall,98019
132,2014-05-05,ADDR_32a2cd6834568bff,249950.0,3.0,2.0,1550,15040,1.0,0,0,4,56,0,0.0,0,42.0,valid_year,Renton,98059
120,2014-05-05,ADDR_e669e86229dbd9fd,600000.0,3.0,1.75,1670,39639,1.0,0,0,4,38,0,0.0,0,22.0,valid_year,Sammamish,98075
136,2014-05-05,ADDR_07062cdc9f38b1fd,615000.0,4.0,1.75,2300,11700,1.0,0,0,4,37,1,0.14782608695652175,0,,none_recorded,Redmond,98052
134,2014-05-05,ADDR_5767dcfaf16936aa,1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,14,0,0.0,0,,none_recorded,Seattle,98112
81,2014-05-05,ADDR_1e9a5f155b9fb87d,627000.0,4.0,2.25,1990,7712,1.0,0,0,3,41,1,0.39195979899497485,0,1.0,valid_year,Issaquah,98027
4349,2014-05-05,ADDR_407d49a26ad8e401,2199900.0,4.0,1.5,1120,5427,1.0,0,0,3,45,0,0.0,0,0.0,valid_year,Covington,98042
90,2014-05-05,ADDR_9ab5ff63b515921c,232000.0,2.0,1.0,1200,8063,1.0,0,0,4,56,0,0.0,0,42.0,valid_year,Des Moines,98198
148,2014-05-05,ADDR_2ce3683822f5691c,478000.0,3.0,2.5,3040,4535,2.0,0,0,3,7,0,0.0,0,,none_recorded,Renton,98056
87,2014-05-05,ADDR_4c7f385235691db5,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,106,0,0.0,0,,none_recorded,Seattle,98112
133,2014-05-05,ADDR_3f16cf830e17cbe0,210000.0,5.0,2.0,2050,10200,1.0,0,0,3,58,1,0.3024390243902439,0,13.0,valid_year,Des Moines,98198
86,2014-05-05,ADDR_0aeda7c0c1c48c35,400000.0,2.0,1.75,2110,9519,1.0,0,0,2,66,0,0.0,0,,none_recorded,Shoreline,98155
94,2014-05-05,ADDR_268ea72207bdb075,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,75,1,0.2297872340425532,0,25.0,valid_year,Seattle,98112
103,2014-05-05,ADDR_282b73b1f4fb0887,787000.0,3.0,1.75,1330,7500,1.0,0,0,3,53,0,0.0,0,10.0,valid_year,Bellevue,98004
74,2014-05-05,ADDR_d964eb3a2c94712b,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,27,0,0.0,0,14.0,valid_year,Sammamish,98074
131,2014-05-05,ADDR_f011b1812aa5b73e,800000.0,3.0,2.5,3240,7857,2.0,0,0,3,20,0,0.0,0,,none_recorded,Sammamish,98075
112,2014-05-05,ADDR_887353fa33918003,309950.0,4.0,2.75,2310,5000,2.0,0,0,3,8,0,0.0,0,,none_recorded,Maple Valley,98038
78,2014-05-05,ADDR_2a045a91446fb6a2,780000.0,4.0,2.5,2730,10281,2.0,0,2,3,18,0,0.0,0,,none_recorded,Sammamish,98074
84,2014-05-05,ADDR_051a5dfacf3af425,410000.0,3.0,2.25,1800,36704,1.0,0,0,4,36,1,0.24444444444444444,0,14.0,valid_year,Issaquah,98027
107,2014-05-05,ADDR_c898d257d69a776b,501000.0,4.0,1.0,2070,7519,1.0,0,0,3,51,1,0.4396135265700483,0,6.0,valid_year,Bellevue,98008
117,2014-05-05,ADDR_79b674c3ffac01ff,398750.0,3.0,2.5,2230,4000,2.0,0,0,3,60,0,0.0,0,9.0,valid_year,Seattle,98144
123,2014-05-05,ADDR_ec37b52279e96d76,2280000.0,7.0,8.0,13540,307752,3.0,0,4,3,15,1,0.3050221565731167,0,,none_recorded,Redmond,98053
113,2014-05-05,ADDR_a982217bf312d7a2,300000.0,3.0,2.0,1050,10072,1.0,0,0,3,28,0,0.0,0,,none_recorded,Duvall,98019
137,2014-05-05,ADDR_27de7f23bca90935,618500.0,3.0,2.0,1800,5000,1.0,0,0,4,72,1,0.4,0,32.0,valid_year,Seattle,98115
129,2014-05-05,ADDR_5868c91d6be175b3,245000.0,3.0,1.75,1920,9306,1.0,0,0,3,30,1,0.4791666666666667,0,,none_recorded,Auburn,98001
80,2014-05-05,ADDR_500fd4e40ead87f2,705380.0,3.0,2.5,2490,4343,2.0,0,0,3,11,0,0.0,0,,none_recorded,Issaquah,98029
106,2014-05-05,ADDR_ea4641fd9b5ae2b2,499000.0,4.0,2.5,2910,6479,2.0,0,0,3,8,0,0.0,0,,none_recorded,Snoqualmie,98065
95,2014-05-05,ADDR_f64cc0824da4a779,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,70,1,0.5,0,,none_recorded,Seattle,98199
97,2014-05-05,ADDR_d45244d15a284470,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,105,0,0.0,0,16.0,valid_year,Seattle,98105
135,2014-05-05,ADDR_f0c48ae337023dab,585000.0,2.0,1.0,1770,8640,1.5,0,0,3,65,1,0.14124293785310735,0,16.0,valid_year,Seattle,98117
100,2014-05-05,ADDR_a5ec6095fef6fa34,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,43,1,0.2892768079800499,0,,none_recorded,Seattle,98105
111,2014-05-05,ADDR_af275d8390e87a40,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,90,1,0.2446043165467626,0,3.0,valid_year,Seattle,98103
141,2014-05-05,ADDR_f8d6e8cec847f028,555000.0,3.0,2.5,1940,3211,2.0,0,0,3,5,0,0.0,0,,none_recorded,Issaquah,98027
109,2014-05-05,ADDR_54074bad7aa8eeb8,400000.0,2.0,1.0,840,5510,1.0,0,0,3,59,0,0.0,0,9.0,valid_year,Seattle,98136
119,2014-05-05,ADDR_003753b64abf4c73,1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,38,1,0.4702194357366771,0,,none_recorded,Bellevue,98006
139,2014-05-05,ADDR_90ddd2dbc63eb271,509900.0,3.0,2.5,1790,2700,2.0,0,0,3,4,0,0.0,0,,none_recorded,Issaquah,98027
110,2014-05-05,ADDR_bcd89abe93392d14,220000.0,4.0,1.5,1240,9600,1.0,0,0,3,43,0,0.0,0,,none_recorded,Federal Way,98023
127,2014-05-05,ADDR_e50a9b683a114d19,449250.0,4.0,2.0,1480,3844,1.5,0,0,5,86,0,0.0,0,44.0,valid_year,Seattle,98133
96,2014-05-05,ADDR_d5bb08e4a1473f02,541125.0,5.0,2.75,2740,8426,1.0,0,0,4,54,1,0.5,0,13.0,valid_year,Bellevue,98006
4356,2014-05-05,ADDR_07e1cba53a6fd73c,744312.5,4.0,2.5,2800,5900,1.0,0,0,3,51,1,0.40714285714285714,0,6.0,valid_year,Seattle,98115
147,2014-05-05,ADDR_6aadf815170544f7,416286.0,3.0,2.5,1408,989,3.0,0,0,3,9,0,0.0,0,,none_recorded,Seattle,98115
149,2014-05-05,ADDR_ae90b59d8b871d9d,890000.0,5.0,3.5,4490,6000,2.0,0,0,3,8,1,0.2873051224944321,0,,none_recorded,Issaquah,98027
125,2014-05-05,ADDR_9b8d472422533e1e,600000.0,3.0,1.75,1880,6360,1.0,0,0,4,69,1,0.44680851063829785,0,,none_recorded,Seattle,98115
144,2014-05-05,ADDR_b90da55a587b7fb7,890000.0,4.0,4.25,4420,5750,2.0,0,0,3,8,1,0.22850678733031674,0,,none_recorded,Issaquah,98027
99,2014-05-05,ADDR_56d19846a587945f,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,9,0,0.0,0,,none_recorded,Seattle,98103
83,2014-05-05,ADDR_676b333af0cad124,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,72,1,0.48031496062992124,0,,none_recorded,Seattle,98118
122,2014-05-05,ADDR_7ee0e8be738199d7,287000.0,3.0,1.0,1450,6000,1.0,0,0,4,61,0,0.0,0,31.0,valid_year,Seattle,98118
108,2014-05-05,ADDR_e12329e46d724bab,1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,22,0,0.0,0,,none_recorded,Redmond,98053
126,2014-05-05,ADDR_7eef08c58d022aee,418000.0,3.0,2.0,1410,6030,1.5,0,0,4,84,0,0.0,0,,none_recorded,Seattle,98103
89,2014-05-05,ADDR_c1279fd19ea088bf,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,8,1,0.19148936170212766,0,,none_recorded,Seattle,98136
140,2014-05-05,ADDR_726e13170ae8744f,631625.0,4.0,2.5,2440,6651,2.0,0,0,3,0,0,0.0,0,,none_recorded,Seattle,98117
146,2014-05-05,ADDR_c0923203154911e8,415000.0,3.0,2.25,1620,998,2.5,0,0,3,4,1,0.04938271604938271,0,,none_recorded,Issaquah,98029
182,2014-05-06,ADDR_12d6580986c6e50a,460000.0,2.0,2.25,1230,929,2.0,0,0,3,10,1,0.17073170731707318,0,,invalid_year,Seattle,98112
222,2014-05-06,ADDR_2c7cbd3cc18b314a,191000.0,3.0,1.5,800,8850,1.0,0,0,4,55,0,0.0,0,,none_recorded,Federal Way,98023
152,2014-05-06,ADDR_8fe00849b0d38b75,397000.0,4.0,2.0,1440,7680,1.0,0,0,3,43,1,0.16666666666666666,0,,none_recorded,Kirkland,98034
154,2014-05-06,ADDR_041f8e775f0dba37,353000.0,3.0,1.0,1350,7740,1.0,0,0,4,67,1,0.362962962962963,0,26.0,valid_year,Seattle,98125
183,2014-05-06,ADDR_bbedda228d16e405,345000.0,4.0,2.5,2331,3826,2.0,0,0,3,7,0,0.0,0,,none_recorded,Renton,98058
209,2014-05-06,ADDR_6e04943d6480beb5,387000.0,3.0,1.0,1230,9568,1.0,0,0,5,52,0,0.0,0,,none_recorded,Newcastle,98056
195,2014-05-06,ADDR_453a948a8cdafc94,280000.0,3.0,1.75,1630,11800,1.0,0,0,4,43,0,0.0,0,,none_recorded,North Bend,98045
184,2014-05-06,ADDR_131562dcad28e73a,455000.0,5.0,2.5,2240,7770,1.0,0,0,3,36,1,0.4017857142857143,0,,none_recorded,Kirkland,98034
223,2014-05-06,ADDR_59c2d893d0a9c93e,500000.0,3.0,2.5,1480,1171,3.0,0,0,3,8,0,0.0,0,,none_recorded,Seattle,98112
